main_category,subcategory,sub_subcategory,title,price,rating,url,price_usd,title_length,brand_name,price_category
"Buy Phones & Accessories, Phones & Accessories at unbeatable price on Banggood","Buy Phones & Accessories, Phones & Accessories at unbeatable price on Banggood",,Xiaomi PB1165MI 165W 36Wh 10000mAh Power Bank Integrated USB-C Cable LED Display External Battery Power Supply with 2 Inputs & 2 Outputs Support PD2.0/3.0 QC2.0/3.0 PPS BC1.2 Apple2.4 Fast Charging for iPhone 17 16 Pro 15 14 13 Pro Max for Huawei Mate XT,,,https://www.banggood.com/Xiaomi-PB1165MI-165W-36Wh-10000mAh-Power-Bank-Integrated-USB-C-Cable-LED-Display-External-Battery-Power-Supply-with-2-Inputs-and-2-Outputs-Support-PD2_0-or-3_0-QC2_0-or-3_0-PPS-BC1_2-Apple2_4-Fast-Charging-for-iPhone-17-16-Pro-15-14-13-Pro-Max-for-Huawei-Mate-XT-p-2043132.html?rmmds=PhonesFlashDeals&cur_warehouse=CN&ID=6287836,24.99,254,Xiaomi,Medium
"Buy Phones & Accessories, Phones & Accessories at unbeatable price on Banggood","Buy Phones & Accessories, Phones & Accessories at unbeatable price on Banggood",,SOYES XS15 Mini 3.0 Inch 2GB RAM 16GB ROM 1000mAh Dual SIM Standby WiFi GPS Android 8.1 3G Quad Core Mobile Phone,,,https://www.banggood.com/SOYES-XS15-Mini-3_0-Inch-2GB-RAM-16GB-ROM-1000mAh-Dual-SIM-Standby-WiFi-GPS-Android-8_1-3G-Quad-Core-Mobile-Phone-p-2017323.html?rmmds=PhonesFlashDeals&cur_warehouse=CN&ID=6287830,24.99,113,SOYES,Medium
"Buy Phones & Accessories, Phones & Accessories at unbeatable price on Banggood","Buy Phones & Accessories, Phones & Accessories at unbeatable price on Banggood",,7A USB to Type-C Cable Support 6A/7A Fast Charging Data Transmission Protocol PVC Core Line 0.25M/1M/2M Long for Huawei Mate 40Pro for Xiaomi Mi12 for Samsung Galaxy Z Fold 2,,,https://www.banggood.com/7A-USB-to-Type-C-Cable-Support-6A-or-7A-Fast-Charging-Data-Transmission-Protocol-PVC-Core-Line-0_25M-or-1M-or-2M-Long-for-Huawei-Mate-40Pro-for-Xiaomi-Mi12-for-Samsung-Galaxy-Z-Fold-2-p-1975795.html?rmmds=PhonesFlashDeals&cur_warehouse=CN&ID=523602,24.99,174,7A,Medium
"Buy Phones & Accessories, Phones & Accessories at unbeatable price on Banggood","Buy Phones & Accessories, Phones & Accessories at unbeatable price on Banggood",,[GaN]Blitzwolf BW-FW10 240W 10-in-1 Wireless Alarm Clock Charger 2USB-A+4USB-C PD3.1/3.0 QC4.0/3.0/2.0 PPS AFC SCP FCP Fast Charging Desktop Charging Station with Time Display and 2 Alarm Clocks EU Plug for iPhone 16 for Samsung for iPad  for Apple Watch,,,https://www.banggood.com/GaNBlitzwolf-BW-FW10-240W-10-in-1-Wireless-Alarm-Clock-Charger-2USB-A+4USB-C-PD3_1-or-3_0-QC4_0-or-3_0-or-2_0-PPS-AFC-SCP-FCP-Fast-Charging-Desktop-Charging-Station-with-Time-Display-and-2-Alarm-Clocks-EU-Plug-for-iPhone-16-for-Samsung-for-iPad-for-Apple-Watch-p-2035207.html?rmmds=PhonesFlashDeals&cur_warehouse=CN&ID=47184,24.99,254,GaNBlitzwolf,Medium
"Buy Phones & Accessories, Phones & Accessories at unbeatable price on Banggood","Buy Phones & Accessories, Phones & Accessories at unbeatable price on Banggood",,ESSAGER ES-ZJ39 Universal Car Phone Mount for Dashboard Center Console 360° Degree Rotation Strong Adhesive Base One Hand Operation Car Phone Holder,,,https://www.banggood.com/ESSAGER-ES-ZJ39-Universal-Car-Phone-Mount-for-Dashboard-Center-Console-360-Degree-Rotation-Strong-Adhesive-Base-One-Hand-Operation-Car-Phone-Holder-p-2043138.html?rmmds=PhonesFlashDeals&cur_warehouse=CN&ID=6287830,24.99,148,ESSAGER,Medium
"Buy Phones & Accessories, Phones & Accessories at unbeatable price on Banggood","Buy Phones & Accessories, Phones & Accessories at unbeatable price on Banggood",,Toocki 1M/2M/3M/5M Cable Organizer Cable Management Wire Winder Tape Cord Management Protector for iPhone Samsung Huawei,,,https://www.banggood.com/Toocki-1M-or-2M-or-3M-or-5M-Cable-Organizer-Cable-Management-Wire-Winder-Tape-Cord-Management-Protector-for-iPhone-Samsung-Huawei-p-1989485.html?rmmds=PhonesFlashDeals&cur_warehouse=CN&ID=457636287830,24.99,120,Toocki,Medium
"Buy Phones & Accessories, Phones & Accessories at unbeatable price on Banggood","Buy Phones & Accessories, Phones & Accessories at unbeatable price on Banggood",,Ulefone Armor 27T Thermal Imaging 24GB 256GB 50MP Dual Camera 64MP Night Vision 6.78 inch 120Hz 10600mAh 33W Fast Charge 30W Wireless Charge Android 14 NFC Helio G99 IP68 IP69K Waterproof 4G Rugged Smartphone,,,https://www.banggood.com/Ulefone-Armor-27T-Thermal-Imaging-24GB-256GB-50MP-Dual-Camera-64MP-Night-Vision-6_78-inch-120Hz-10600mAh-33W-Fast-Charge-30W-Wireless-Charge-Android-14-NFC-Helio-G99-IP68-IP69K-Waterproof-4G-Rugged-Smartphone-p-2022760.html?rmmds=PhonesFlashDeals&cur_warehouse=HK&ID=62464446287830,24.99,208,Ulefone,Medium
"Buy Phones & Accessories, Phones & Accessories at unbeatable price on Banggood","Buy Phones & Accessories, Phones & Accessories at unbeatable price on Banggood",,BlitzWolf® 868H 160W 5-Port USB PD Desktop Charger Dual USB-A QC3.0+Dual PD65W Type-C+65W Type-C PD3.0 with 15W 10W 7.5W 5W Wireless Fast Charger for iPhone 14 14 Pro Max for Samsung Galaxy Z Fold 4 S22 Ultra,,,https://www.banggood.com/BlitzWolf-868H-160W-5-Port-USB-PD-Desktop-Charger-Dual-USB-A-QC3_0+Dual-PD65W-Type-C+65W-Type-C-PD3_0-with-15W-10W-7_5W-5W-Wireless-Fast-Charger-for-iPhone-14-14-Pro-Max-for-Samsung-Galaxy-Z-Fold-4-S22-Ultra-p-1996851.html?rmmds=PhonesFlashDeals&cur_warehouse=CN&ID=0,24.99,208,BlitzWolf®,Medium
"Buy Phones & Accessories, Phones & Accessories at unbeatable price on Banggood","Buy Phones & Accessories, Phones & Accessories at unbeatable price on Banggood",,KUULAA 230W 222Wh 60000mAh Power Bank with Adjustable LED Light External Battery Power Station with 3 Inputs and 4 Outputs Fast Charging for iPhone 16 16 Pro 15 14 13 Pro Max for HUAWEI Pura 80 Ulta for SAMSUNG for Tablet for Speaker for Camera,,,https://www.banggood.com/KUULAA-230W-222Wh-60000mAh-Power-Bank-with-Adjustable-LED-Light-External-Battery-Power-Station-with-3-Inputs-and-4-Outputs-Fast-Charging-for-iPhone-16-16-Pro-15-14-13-Pro-Max-for-HUAWEI-Pura-80-Ulta-for-SAMSUNG-for-Tablet-for-Speaker-for-Camera-p-2039598.html?rmmds=PhonesFlashDeals&cur_warehouse=CN&ID=6287836,24.99,244,KUULAA,Medium
"Buy Phones & Accessories, Phones & Accessories at unbeatable price on Banggood","Buy Phones & Accessories, Phones & Accessories at unbeatable price on Banggood",,i16 Pro Mini 2G GSM 1.77 Inch Dual SIM Card FM Big Butons Camera Foldable Flip Mobile Phone,,,https://www.banggood.com/I16-Pro-Mini-2G-GSM-1_77-Inch-Dual-SIM-Card-FM-Big-Butons-Camera-Foldable-Flip-Mobile-Phone-p-2017326.html?rmmds=PhonesFlashDeals&cur_warehouse=CN&ID=6287830,24.99,91,i16,Medium
